# !SESSION 2025-11-02 03:14:51.074
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| main | 2025-11-02 03:17:31.583 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Reevaluating registered platform installations |
| main | 2025-11-02 03:17:31.586 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Loaded list of platform installations from store: 3 total |
| main | 2025-11-02 03:17:31.636 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Using fallback runtime installation because stored installation cannot be loaded: project=P/УправлениеПарком, loaded=null, fallback=FixedRuntimeResolvable [installation=com._1c.g5.v8.dt.platform.services.model.impl.RuntimeInstallationImpl@1a18b38c (uuid: ffad0bf3-77d0-4d74-8169-7be7c92b1179, name: 1С:Предприятие 8.3.27.1786, typeId: com._1c.g5.v8.dt.platform.services.core.runtimeType.EnterprisePlatform, version: 8.3.27, build: 1786, location: file:///C:/Program%20Files%20(x86)/1cv8/8.3.27.1786/bin/, training: false, arch: x86)], infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@f0be1e7 (name: edt_park_db, uuid: fc3f7b47-f975-499a-bc28-6c3efa2d5c91, external: false, orderInList: -1.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27.1786, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null) |
| main | 2025-11-02 03:17:31.661 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:УправлениеПарком, ][requiresSynchronization=true] |
| main | 2025-11-02 03:17:31.667 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating and caching missing designer agent connection for infobase edt_park_db |
| main | 2025-11-02 03:17:31.670 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating designer agent connection: infobase=edt_park_db, agent directory=null, connection directory=null |
| main | 2025-11-02 03:17:31.679 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Starting designer agent for infobase edt_park_db: C:\Program Files (x86)\1cv8\8.3.27.1786\bin\1cv8.exe DESIGNER /F D:\1c_start\edt_park\park_db /AgentMode /AgentSSHHostKeyAuto /AgentBaseDir C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610 /AppAutoCheckVersion- /AgentPort 60530 /Out C:\Users\Vik\AppData\Local\Temp\1cedt\1cv8-3077901318300222432.log -NoTruncate |
| main | 2025-11-02 03:17:31.708 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Designer agent process identifier is 10 548 |
| main | 2025-11-02 03:17:32.713 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating and connecting designer client to host localhost and port 60530 |
| main | 2025-11-02 03:17:33.820 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating and connecting designer client to host localhost and port 60530 |
